NAMEASCII,LATITUDE,LONGITUDE,POP_MAX,POP_MIN,POP Avg,D1 Desc,D1 Preci,D2 Desc,D2 Preci,D3 Desc,D3 Preci,D4 Desc,D4 Preci,D5 Desc,D5 Preci,D6 Desc,D6 Preci,D7 Desc,D7 Preci
Tokyo,35.687,139.749,35676000,8336599,22006300,,,,,,,,,,,,,,
Mumbai,19.019,72.855,18978000,12691836,15834918,,,,,,,,,,,,,,
Mexico City,19.444,-99.133,19028000,10811002,14919501,,,,,,,,,,,,,,
Shanghai,31.218,121.435,14987000,14608512,14797756,,,,,,,,,,,,,,
Sao Paulo,-23.557,-46.627,18845000,10021295,14433148,,,,,,,,,,,,,,
New York,40.752,-73.982,19040000,8008278,13524139,,,,,,,,,,,,,,
Karachi,24.872,66.988,12130000,11624219,11877110,,,,,,,,,,,,,,
Buenos Aires,-34.601,-58.399,12795000,10929146,11862073,,,,,,,,,,,,,,
Delhi,28.672,77.228,15926000,7633213,11779607,,,,,,,,,,,,,,
Moscow,55.754,37.614,10452000,10452000,10452000,,,,,,,,,,,,,,
Istanbul,41.107,29.008,10061000,9945610,10003305,,,,,,,,,,,,,,
Dhaka,23.725,90.407,12797394,7000940,9899167,,,,,,,,,,,,,,
Cairo,30.052,31.248,11893000,7734614,9813807,,,,,,,,,,,,,,
Seoul,37.568,126.998,9796000,9796000,9796000,,,,,,,,,,,,,,
Kolkata,22.497,88.323,14787000,4631392,9709196,,,,,,,,,,,,,,
Beijing,39.931,116.386,11106000,7480601,9293301,,,,,,,,,,,,,,
Jakarta,-6.172,106.827,9125000,8540121,8832561,,,,,,,,,,,,,,
Los Angeles,33.992,-118.182,12500000,3694820,8097410,,,,,,,,,,,,,,
London,51.502,-0.119,8567000,7421209,7994105,,,,,,,,,,,,,,
Tehran,35.674,51.422,7873000,7153309,7513155,,,,,,,,,,,,,,
Lima,-12.046,-77.052,8012000,6758234,7385117,,,,,,,,,,,,,,
Manila,14.606,120.980,11100000,3077575,7088788,,,,,,,,,,,,,,
Bogota,4.598,-74.085,7772000,6333661,7052831,,,,,,,,,,,,,,
Osaka,34.752,135.458,11294000,2592413,6943207,,,,,,,,,,,,,,
Rio de Janeiro,-22.923,-43.227,11748000,2010175,6879088,,,,,,,,,,,,,,
Kinshasa,-4.328,15.313,7843000,5565703,6704352,,,,,,,,,,,,,,
Lahore,31.562,74.348,6577000,6310888,6443944,,,,,,,,,,,,,,
Guangzhou,23.147,113.323,8829000,3152825,5990913,,,,,,,,,,,,,,
Bengaluru,12.972,77.558,6787000,5104047,5945524,,,,,,,,,,,,,,
Chicago,41.832,-87.752,8990000,2841952,5915976,,,,,,,,,,,,,,
Bangkok,13.752,100.515,6704000,5104476,5904238,,,,,,,,,,,,,,
Hong Kong,22.307,114.183,7206000,4551579,5878790,,,,,,,,,,,,,,
Chennai,13.092,80.278,7163000,4328063,5745532,,,,,,,,,,,,,,
Wuhan,30.582,114.268,7243000,4184206,5713603,,,,,,,,,,,,,,
Tianjin,39.132,117.198,7180000,3766207,5473104,,,,,,,,,,,,,,
Chongqing,29.567,106.593,6461000,3967028,5214014,,,,,,,,,,,,,,
Baghdad,33.341,44.392,5054000,5054000,5054000,,,,,,,,,,,,,,
Hyderabad,17.402,78.478,6376000,3597816,4986908,,,,,,,,,,,,,,
Paris,48.869,2.331,9904000,11177,4957589,,,,,,,,,,,,,,
Taipei,25.036,121.568,6900273,2618772,4759522.5,,,,,,,,,,,,,,
